Tracked Items,First Value,Period
Motor Vehicle Crash - Pedestrian Struck - P.R.,9,12-25
Motor Vehicle Crash - Pedestrian Struck - P.R.,10,01-26
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,01-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,02-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,03-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,04-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,05-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,1,06-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,07-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,08-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,09-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,10-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,11-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,12-25
Motor Vehicle Crash - Pedestrian Struck - T.R.,0,01-26
Motor Vehicle Crash - Police Vehicle - P.R.,1,01-25
Motor Vehicle Crash - Police Vehicle - P.R.,1,02-25
Motor Vehicle Crash - Police Vehicle - P.R.,0,03-25
Motor Vehicle Crash - Police Vehicle - P.R.,2,04-25
Motor Vehicle Crash - Police Vehicle - P.R.,0,05-25
Motor Vehicle Crash - Police Vehicle - P.R.,0,06-25
Motor Vehicle Crash - Police Vehicle - P.R.,0,07-25
Motor Vehicle Crash - Police Vehicle - P.R.,1,08-25
Motor Vehicle Crash - Police Vehicle - P.R.,1,09-25
Motor Vehicle Crash - Police Vehicle - P.R.,1,10-25
Motor Vehicle Crash - Police Vehicle - P.R.,0,11-25
Motor Vehicle Crash - Police Vehicle - P.R.,0,12-25
Motor Vehicle Crash - Police Vehicle - P.R.,0,01-26
Motor Vehicle Crash - Police Vehicle - T.R.,0,01-25
Motor Vehicle Crash - Police Vehicle - T.R.,1,02-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,03-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,04-25
Motor Vehicle Crash - Police Vehicle - T.R.,2,05-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,06-25
Motor Vehicle Crash - Police Vehicle - T.R.,2,07-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,08-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,09-25
Motor Vehicle Crash - Police Vehicle - T.R.,1,10-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,11-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,12-25
Motor Vehicle Crash - Police Vehicle - T.R.,0,01-26
Motor Vehicle Crash - T.R.,2,01-25
Motor Vehicle Crash - T.R.,1,02-25
Motor Vehicle Crash - T.R.,0,03-25
Motor Vehicle Crash - T.R.,0,04-25
Motor Vehicle Crash - T.R.,3,05-25
Motor Vehicle Crash - T.R.,4,06-25
Motor Vehicle Crash - T.R.,8,07-25
Motor Vehicle Crash - T.R.,4,08-25
Motor Vehicle Crash - T.R.,2,09-25
Motor Vehicle Crash - T.R.,3,10-25
Motor Vehicle Crash - T.R.,3,11-25
Motor Vehicle Crash - T.R.,5,12-25
Motor Vehicle Crash - T.R.,2,01-26
Motor Vehicle Crash - w/Injury - P.R.,27,01-25
Motor Vehicle Crash - w/Injury - P.R.,18,02-25
Motor Vehicle Crash - w/Injury - P.R.,21,03-25
Motor Vehicle Crash - w/Injury - P.R.,0,04-25
Motor Vehicle Crash - w/Injury - P.R.,36,05-25
Motor Vehicle Crash - w/Injury - P.R.,30,06-25
Motor Vehicle Crash - w/Injury - P.R.,42,07-25
Motor Vehicle Crash - w/Injury - P.R.,34,08-25
Motor Vehicle Crash - w/Injury - P.R.,25,09-25
Motor Vehicle Crash - w/Injury - P.R.,44,10-25
Motor Vehicle Crash - w/Injury - P.R.,28,11-25
Motor Vehicle Crash - w/Injury - P.R.,28,12-25
Motor Vehicle Crash - w/Injury - P.R.,40,01-26
Motor Vehicle Crash - w/Injury - T.R.,0,01-25
Motor Vehicle Crash - w/Injury - T.R.,0,02-25
Motor Vehicle Crash - w/Injury - T.R.,0,03-25
Motor Vehicle Crash - w/Injury - T.R.,0,04-25
Motor Vehicle Crash - w/Injury - T.R.,1,05-25
Motor Vehicle Crash - w/Injury - T.R.,1,06-25
Motor Vehicle Crash - w/Injury - T.R.,3,07-25
Motor Vehicle Crash - w/Injury - T.R.,1,08-25
Motor Vehicle Crash - w/Injury - T.R.,1,09-25
Motor Vehicle Crash - w/Injury - T.R.,0,10-25
Motor Vehicle Crash - w/Injury - T.R.,0,11-25
Motor Vehicle Crash - w/Injury - T.R.,1,12-25
Motor Vehicle Crash - w/Injury - T.R.,1,01-26
